PPG (Pulse)	Respiration (SS5LB)
-0.533691	7.58331
-0.533447	7.57294
-0.532043	7.56317
-0.530212	7.55341
-0.529358	7.54395
-0.529968	7.53479
-0.531616	7.52686
-0.532776	7.52045
-0.532898	7.51434
-0.531677	7.50793
-0.529968	7.50031
-0.527039	7.49207
-0.523499	7.48291
-0.519348	7.47314
-0.514893	7.46277
-0.506775	7.45209
-0.489014	7.4411
-0.454163	7.43011
-0.395874	7.41913
-0.311218	7.40753
-0.201111	7.39532
-0.0675049	7.38312
0.0856934	7.37091
0.254211	7.35931
0.430359	7.34741
0.605652	7.33551
0.772766	7.3233
0.927917	7.31049
1.06909	7.29736
1.19611	7.28455
1.30792	7.27173
1.40387	7.25861
1.48358	7.24487
1.54785	7.23145
1.59827	7.21771
1.63605	7.20428
1.66138	7.19086
1.67529	7.17773
1.67859	7.16492
1.67303	7.1521
1.65881	7.13898
1.63593	7.12494
1.60437	7.10968
1.56494	7.09259
1.5152	7.07458
1.45398	7.05627
1.38165	7.03857
1.30298	7.02179
1.22235	7.00562
1.14093	6.98975
1.05786	6.97357
0.972961	6.95618
0.886475	6.93787
0.799866	6.91956
0.713257	6.90186
0.62677	6.88446
0.540039	6.86737
0.454285	6.85028
0.370728	6.8335
0.290161	6.81671
0.211426	6.80084
0.133972	6.78528
0.0579224	6.77002
-0.0148926	6.75446
-0.0836792	6.73889
-0.148254	6.72302
-0.209351	6.70685
-0.265625	6.69037
-0.311951	6.67297
-0.349854	6.65466
-0.383606	6.63513
-0.419067	6.61469
-0.456055	6.59363
-0.48938	6.57227
-0.517029	6.55121
-0.538879	6.53046
-0.554565	6.5097
-0.562683	6.48834
-0.562622	6.46698
-0.554749	6.44623
-0.540588	6.42609
-0.521118	6.40381
-0.49823	6.37817
-0.472961	6.34979
-0.446167	6.3205
-0.418335	6.29028
-0.389648	6.25916
-0.360535	6.22681
-0.332092	6.19385
-0.305298	6.16089
-0.281677	6.12671
-0.262024	6.09039
-0.246643	6.05164
-0.234802	6.01105
-0.225159	5.97107
-0.216125	5.93292
-0.208069	5.89691
-0.202515	5.86334
-0.201599	5.83191
-0.206116	5.80292
-0.214844	5.77545
-0.225708	5.7486
-0.237	5.72144
-0.246643	5.69336
-0.257629	5.66498
-0.272339	5.63538
-0.292297	5.60364
-0.315186	5.57007
-0.33728	5.5365
-0.357666	5.50507
-0.37793	5.47577
-0.398743	5.44861
-0.420593	5.42206
-0.442017	5.39551
-0.462158	5.37018
-0.48053	5.34637
-0.498047	5.32532
-0.515808	5.3067
-0.53418	5.28961
-0.552307	5.27252
-0.569885	5.25391
-0.587402	5.23407
-0.604431	5.21332
-0.619568	5.19287
-0.632568	5.17242
-0.64386	5.15228
-0.654724	5.13214
-0.665466	5.11261
-0.674866	5.0943
-0.68158	5.07721
-0.685547	5.06104
-0.687866	5.04547
-0.691345	5.03052
-0.696533	5.01556
-0.703003	5.00092
-0.713806	4.98627
-0.7323	4.97192
-0.758301	4.95789
-0.785706	4.94324
-0.806213	4.92767
-0.81604	4.91058
-0.813721	4.89258
-0.796082	4.87427
-0.757141	4.85535
-0.690857	4.83551
-0.594666	4.81445
-0.470947	4.79065
-0.324463	4.76288
-0.160583	4.73022
0.0151367	4.69452
0.194763	4.65942
0.36969	4.62769
0.532837	4.59991
0.68158	4.57489
0.815796	4.55078
0.936218	4.52759
1.04272	4.5047
1.1358	4.48242
1.21588	4.46075
1.28394	4.4397
1.33978	4.42017
1.38324	4.40033
1.41449	4.37744
1.43512	4.34967
1.44647	4.31915
1.44971	4.29016
1.44452	4.26483
1.43158	4.24255
1.41138	4.22241
1.38556	4.20288
1.35443	4.18365
1.31812	4.16473
1.27686	4.14642
1.23145	4.12903
1.18274	4.11133
1.13049	4.09119
1.07373	4.06219
1.01239	4.01306
0.94696	3.93036
0.878601	3.81287
0.80835	3.67767
0.737488	3.55103
0.666321	3.45062
0.594299	3.37708
0.519836	3.32245
0.443665	3.27881
0.368164	3.24249
0.296021	3.21136
0.227356	3.18512
0.160034	3.16254
0.0927124	3.14178
0.0261841	3.12286
-0.0377808	3.10547
-0.0961914	3.08929
-0.148438	3.07251
-0.194946	3.05542
-0.237488	3.03833
-0.276855	3.02124
-0.312561	3.00446
-0.342957	2.98706
-0.367126	2.96936
-0.384399	2.95135
-0.394775	2.93335
-0.399292	2.91534
-0.39917	2.89703
-0.394653	2.8772
-0.387634	2.85248
-0.37915	2.81769
-0.369995	2.77069
-0.358276	2.71484
-0.342651	2.65747
-0.323364	2.60468
-0.302612	2.55798
-0.282532	2.5177
-0.26355	2.48169
-0.246155	2.44934
-0.230103	2.41974
-0.215027	2.39349
-0.201843	2.3703
-0.190979	2.34985
-0.183838	2.33063
-0.180481	2.31171
-0.180481	2.29065
-0.182739	2.26654
-0.18689	2.24091
-0.194336	2.21527
-0.206604	2.19116
-0.223267	2.16766
-0.242065	2.14417
-0.260986	2.11945
-0.280212	2.09351
-0.301086	2.06696
-0.324829	2.04163
-0.350098	2.01843
-0.374817	1.99768
-0.397583	1.97906
-0.419373	1.96014
-0.441711	1.93146
-0.465576	1.88324
-0.490417	1.81122
-0.51593	1.72119
-0.541626	1.62659
-0.567688	1.53748
-0.59375	1.45813
-0.619263	1.38885
-0.643066	1.32874
-0.664917	1.27563
-0.684814	1.22925
-0.703369	1.18896
-0.720276	1.15417
-0.736023	1.12213
-0.750977	1.08917
-0.764832	1.05286
-0.776794	1.01013
-0.787048	0.957947
-0.79657	0.890503
-0.80658	0.803528
-0.816345	0.699768
-0.825073	0.588074
-0.832153	0.480652
-0.838318	0.385437
-0.843506	0.305176
-0.847961	0.238647
-0.85144	0.183411
-0.854492	0.136414
-0.856506	0.0952148
-0.857605	0.0567627
-0.856323	0.0201416
-0.851257	-0.0146484
-0.838684	-0.0469971
-0.815125	-0.0762939
-0.775696	-0.10498
-0.715393	-0.16449
-0.628662	-0.306396
-0.512756	-0.560303
-0.368652	-0.901489
-0.201172	-1.26068
-0.0185547	-1.57867
0.169739	-1.83777
0.354797	-2.04651
0.530396	-2.21832
0.694336	-2.3642
0.845703	-2.49207
0.984131	-2.60834
1.10907	-2.71454
1.22015	-2.80975
1.31763	-2.89124
1.40192	-2.95868
1.47339	-3.01483
1.53345	-3.06335
1.58319	-3.10852
1.62347	-3.15247
1.65448	-3.19366
1.67596	-3.2312
1.6875	-3.26294
1.68829	-3.28949
1.67841	-3.31085
1.65991	-3.32886
1.63446	-3.34564
1.60339	-3.36395
1.56598	-3.38684
1.52191	-3.42194
1.47235	-3.48846
1.41846	-3.60931
1.36102	-3.79395
1.30084	-4.02527
1.23779	-4.27124
1.17273	-4.50714
1.10657	-4.72595
1.04083	-4.92828
0.975952	-5.112
0.91095	-5.2713
0.844238	-5.40253
0.77594	-5.50659
0.706604	-5.58716
0.636108	-5.64911
0.564758	-5.6955
0.493713	-5.72968
0.424744	-5.75378
0.358826	-5.77026
